Text,pos,neg
"Isnt it lovely to be able to kiss and cuddle, hold and gently explore each
Gold Price Prediction: 4.50% Gain In 14 Days http://t.co/tKtzFSoT34 #GoldSilverPredictions #GoldPrediction #stocks #nyse,1,0
Michael Lipper: markets misread the medicine http://t.co/CqcupSBgzz #NYSE,0,1
Michael Lipper: markets misread the medicine http://t.co/HzH7H5OmdT #NYSE,0,1
In Play /  / $FL $ADSK $SHLD $BIG /  / # #nyse #nasdaq #,1,0
http://t.co/VS8RO1tb5N Top 4 NYSE Stocks In The Oil &amp; Gas http://t.co/XhbQWMbK2N #AMID #CMLP #dividendyield #NYSE #Financial #News,1,0
Earnings Surprises: $HIBB $FL $BERY $TNP $WBAI $DCI $LRAD $GLOG $GEOS $PLCE $ARUN $EDAP $GPS $GME $GWB http://t.co/S9oPUZ8PN3 #nasdaq #nyse,1,0
Glad U.S. #stocks continue on the upward trend.  #NYSE,1,0
RT @StockSignaling: Earnings Surprises: $HIBB $FL $BERY $TNP $WBAI $DCI $LRAD $GLOG $GEOS $PLCE $ARUN $EDAP $GPS $GME $GWB http://t.co/S9oP,1,0
RT @StockSignaling: Earnings Surprises: $HIBB $FL $BERY $TNP $WBAI $DCI $LRAD $GLOG $GEOS $PLCE $ARUN $EDAP $GPS $GME $GWB http://t.co/S9oP,1,0
"#GraphiteStocks Gold prices gain in early Asia on weak yen, China stimulus prospects: 
Gold... http://t.co/ltwDQsNYfC #NYSE #NASDAQ #DOW",1,0
Gorilla Glass 4 Promises To Be Tougher Than Ever http://t.co/IsFYODJGpU $GLW $AAPL #NYSE #NASDAQ #Invest,1,0
"Tesla Motors Retooled Factory in Fremont, California-VIDEO http://t.co/Q0xQKxpahV $TSLA #Stocks #NYSE #NASDAQ #Invest #investor",1,0
Ford's new F-150 trucks are shaking up the aluminum industry http://t.co/KujbHqSWdh $AA $F $GM $HMC $TSLA #NYSE #NASDAQ #Invest,1,0
"Asia Stocks Jump As China, Europe Step Up Stimulus http://t.co/HjzFPjj6W6 #Stocks #Asia #Europe Should be good for $SPY $IWM $QQQ #NYSE",1,0
"Futures higher, building on recent gains http://t.co/30j8d51BuI #NYSE",1,0
"Futures higher, building on recent gains http://t.co/QpyH3G3Qlm #NYSE",1,0
$CPC and $CPCE put/call ratio's are low signaling complacency. $SPX $QQQ $QID #stocks #options #futures #NYSE #CME #CBOE,0,1
RT @KeySpeculator: $CPC and $CPCE put/call ratio's are low signaling complacency. $SPX $QQQ $QID #stocks #options #futures #NYSE #CME #CBOE,0,1
"RT @crazycanuck655: Asia Stocks Jump As China, Europe Step Up Stimulus http://t.co/HjzFPjj6W6 #Stocks #Asia #Europe Should be good for $SPY",1,0
"#IT #PINK:DTEGY #NYSE:T
"#GraphiteStocks EMC Announces Name Change To Scandium International Mining Corp.: 
"5 stocks that make up the Top Hedge Funds Holdings http://t.co/azGlplNnBp $AAPL $FB $ACT $AIG $AGN #Stocks #topstocks 
#NYSE #NASDAQ",1,0
Ready for another record breaking day at #NYSE are you ready for some #gains http://t.co/HzBzMeWNeQ,1,0
"RT @crazycanuck655: 5 stocks that make up the Top Hedge Funds Holdings http://t.co/azGlplNnBp $AAPL $FB $ACT $AIG $AGN #Stocks #topstocks 
",1,0
$AV $SPF downgraded by BofA/Merrill from Buy to Neutral. http://t.co/cyxQj8igqB  $DIA $QQQ $SPY #stockdowngrade #stocks #NYSE,0,1
Swedish office space: Polar Star Realty Trust sets terms for $500 million IPO  #nasdaq #nyse #otc http://t.co/80wMwEkY7S,1,0
"Opening Bell: Dow Jones 17.839 +0,16% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trading #aktie #dollar #opening",1,0
"Opening Bell: NASDAQ 4.264 +0,30% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trade #aktie #nasdaq #dollar #opening",1,0
$ABBV is a beast!!! Bring on $70!! #nasdaq #amex #nyse #otc #stocktrader #thedude #CA #ABBV,1,0
"Cannabis Science $CBIS Purchases Two Parcels of Cannabis Production Land from Apothecary Genetics, 51 Acres  #NYSE http://t.co/9DSGJ50Zig",1,0
SCGhealth reads: #WallStreet Is Bullish On 2015 #Obamacare Enrollment #HIX #NYSE #hcbusiness #physician via @khnews http://t.co/skwRAlCCLD,1,0
Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU37fH5JO,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
"#GraphiteStocks Insider Trading Alert:Entegris Inc , American Capital: 
Stocks are at all-time highs http://t.co/atrkTwR4BO #nasdaq #nyse #stocks #markets #record #trading #brokers #traders http://t.co/qAfSbaMzpO,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
#MarketAnalysis Big Week For US #Data | http://t.co/y1uO0Kqq9q #NYSE #WallStreet #investing #money #WarrenBuffett #stockmarket #stocks,1,0
"Labstyle innovations-announces-two-board-appointments-peter-kash-hila-karah http://t.co/n2wiyDXogj #DayTrader #DayTrading, #NASDAQ, #NYSE,",1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
4-star analyst Sherri Scribner from Deutsche Bank maintained a BUY on $HPQ. Sherri has a 73.8% success rate http://t.co/1RYiVUUiqE #NYSE,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
Annual Highs: $BKW $NKTR $TMO $BFR $XL $TSEM $WY $SNPS $AAWW $AON $BRFS $BPL $TSM $MPC $ACMP http://t.co/TRx9EnjwT5 #nyse #stocks #analyst,1,0
"RT @OpFunKill: Steal tweet!
0-star analyst Alex Henderson from Needham upgraded rating on $BLOX to BUY. Alex has a 35.4% success rate http://t.co/tORCBKguHJ #NYSE,1,0
US stocks inch further into record territory http://t.co/TECadVZG0C #NYSE,1,0
US stocks inch further into record territory http://t.co/aKVQlmvetS #NYSE,1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"@luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://t.co/doKUjdNqkX",1,0
Yingli Green Energy to Power Europe's Largest Solar Plant http://t.co/2sMWvhtDXq $YGE #Solar #Stocks #NYSE #CleanEnergy #Energy #Investing,1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
TSX racks up more declines as energy stocks sell off on oil price collapse http://t.co/EcDQnjL2Ep #NYSE,0,1
TSX racks up more declines as energy stocks sell off on oil price collapse http://t.co/RPcV4fzkkv #NYSE,0,1
.@usmc celebrating the 67th yr of #ToysForTots wll ring the closing bell on the .@nyse #NYSE,1,0
Premium Alerts Ranked #1 For Gains 2834% Last Week http://t.co/SVqoMlijqL .. #StockCharts #NYSE #America,1,0
3-star analyst Simeon Gutman from Morgan Stanley maintained a SELL on $TGT. Simeon has a 78.9% success rate http://t.co/yhhTlHdtQG #NYSE,0,1
$VIX's diverging lower from #NYSE declining issues - advancing issues. Internals a little somber here. $spy $qqq $tlt http://t.co/zMpBqh6BHQ,0,1
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
U.S. Stocks Rise From Records Amid Confidence in Economy http://t.co/lHpvXBkPuV via @BloombergNews #bullmarket #NYSE @dowjones,1,0
5-star analyst Arjun Murti from Goldman Sachs rated $XOM w/a SELL. Arjun has a 82.4% success rate http://t.co/wlV1q0n2o6 #NYSE #stocks,1,0
$BABA stock settling into its own.  Time to play it as a long term investment.  #stocks #investment $twtr $aapl $bidu $yhoo #nyse,1,0
"#IT #NYSE:PCS #musicfreedom
 T-Mobile adds 14 music apps that dont count against data caps - Mobile.. http://t.co/vendzv9JbW",1,0
"#IT #NYSE:SNE #xperiaz3
 Hackers replace Sonys backup app on Google Play - Mobile.. http://t.co/YI7JG0UquQ",0,1
Downgraded: $TYC $DCI $PDCO $EJ $ED $SNCR $WU $INGR $BHI $HIMX $MAR $HAL $ORLY $HL $WMT http://t.co/TRx9EnjwT5 #nyse #finance #investors,0,1
#NYSE #NASDAQ #CBOE #DOW #SP500 Extends Record on Confidence in Global Economy http://t.co/Um8LwXo5H1,1,0
See our great CEO @ViolinMemory present at Barclays Global #Tech event on Dec 10: http://t.co/1VHsKapdFe #NYSE $VMEM http://t.co/aa21tPc6kQ,1,0
0-star analyst Nishu Sood from Deutsche Bank reiterated a BUY on $AWI. Nishu has a 25.0% success rate http://t.co/mwD5vy94Et #NYSE #stocks,1,0
"Dow, S&amp;P 500 at new records; Apple lifts Nasdaq http://t.co/MBrq596el1 #NYSE",1,0
"Dow, S&amp;P 500 at new records; Apple lifts Nasdaq http://t.co/kRi9vKnaw5 #NYSE",1,0
Roberts Realty gets warning from the #NYSE http://t.co/7fUf01XecN #investing #WallStreet #Atlanta http://t.co/nWeEqZaHFu,0,1
Upgraded: $DENN $BEAT $RLGY $BBVA $LL $BERY $SCTY $DHI $ROST $GWB $ROSE $YUM $TRUE $SSI $LOW http://t.co/Vv2VEnpBuv #stock #nyse #stocks,1,0
"#GraphiteStocks Seeking Less Risky Business In Mining M&amp;A [New Gold Inc. (USA), Newmont ...... http://t.co/R15saA3fgF #NYSE #NASDAQ #DOW",1,0
"#GraphiteStocks 3D Systems Corporation (DDD): 2 Growth Areas to Watch: 
3D Systems Corporat... http://t.co/u35Q6eYa2y #NYSE #NASDAQ #DOW",1,0
Aetna Board of Directors Increases Quarterly Cash Dividend by 11 Percent http://t.co/I4JxpWdpG6 #Aetna #AmericanBusinessTV #NYSE,1,0
3-star analyst Pavel Molchanov from Raymond James upgraded rating on $HES to BUY.  http://t.co/xhIF0Wy4iI #NYSE #stocks #HES,1,0
0-star analyst Gail Nicholson from KLR Group rated $EPE w/a BUY. Gail has a 6.7% success rate http://t.co/OzGmyFKRbI #NYSE #stocks #EPE,1,0
0-star analyst Shneur Gershuni from UBS reiterated a BUY on $SHLX. Shneur has a -7.0% avg rtrn http://t.co/AQ1Tmlzfhm #NYSE #stocks #SHLX,1,0
"NYSE, Technology, Active, Previous hour, SD +2.22, #NYSE #Technology",1,0
"NYSE, Technology, Active, Previous hour, SD +3.28, #NYSE #Technology",1,0
"One of the cutest yaks I've seen 
4-star analyst Timothy Mchugh from William Blair reiterated a BUY on $MHFI. Timothy has a 92.9% success rate http://t.co/zWPM9Xs2qg #NYSE,1,0
"#GraphiteStocks http://t.co/RRmtibtDVo Conducts Exploration Program on the Eldor Project, Qu... http://t.co/UhH744Tm3R #NYSE #NASDAQ #DOW",1,0
4-star analyst Bhavan Suri from William Blair reiterated a BUY on $RNG. Bhavan has a 66.7% success rate http://t.co/xnlaKI9OAb #NYSE #stocks,1,0
"No cars? ""That's why we can't have nice things"". -Bane #nyse #stockexchange",0,1
"No nice things, says Bane #tdkr #bane #nyse http://t.co/dyxjyRdlyp",0,1
2-star analyst Joan Storms from Wedbush maintained a BUY on $BIG.  http://t.co/xUPlIWSxSn #NYSE #stocks #BIG,1,0
"RT @OpFunKill: Steal tweet!
"Isnt it lovely to be able to kiss and cuddle, hold and gently explore each
Downgraded: $TYC $DCI $PDCO $EJ $ED $SNCR $WU $INGR $BHI $HIMX $MAR $HAL $ORLY $HL $WMT http://t.co/Vv2VEnpBuv #investing #nyse #dow #mkt,0,1
Investors concernd by #ATT #Verizon spendin in gov spectrum auction  http://t.co/s40HgDh02v #ATTInc #NYSE #YahooFinance,0,1
"Gazit-Globe Declares a Quarterly Dividend of NIS 0.45 Per Share, and an Increase of 2.2% in Its ... http://t.co/FElEzVcnlG #NYSE",1,0
"Gazit-Globe Declares a Quarterly Dividend of NIS 0.45 Per Share, and an Increase of 2.2% in Its ... http://t.co/2894qpuiOw #NYSE",1,0
4-star analyst Buck Horne from Raymond James rated $PHM w/a BUY. Buck has a 72.4% success rate http://t.co/nn8ZgF49UP #NYSE #stocks #PHM,1,0
"#GraphiteStocks NovX21 Inc. Retains Integral Wealth Securities Limited as Market Maker: 
"5 stocks that make up the Top Hedge Funds Holdings http://t.co/azGlplNnBp $AAPL $FB $ACT $AIG $AGN #Stocks #investing 
#NYSE #NASDAQ",1,0
When is one Apple worth more than all the stock in Russia? http://t.co/8w6fOA2SQ7 #NYSE,1,0
When is one Apple worth more than all the stock in Russia? http://t.co/8F0Ct0mTlX #NYSE,1,0
$BIN upgraded by Stifel from Hold to Buy. http://t.co/1aIh4Rkvud  $SPY $DIA $QQQ #stocks #trading #stockupgrade #nasdaq #nyse,1,0
$PBR upgraded by Citigroup from Neutral to Buy. http://t.co/1aIh4Rkvud  $SPY $DIA $QQQ #stocks #trading #stockupgrade #nasdaq #nyse,1,0
$TKC upgraded by BofA/Merrill from Neutral to Buy. http://t.co/1aIh4Rkvud  $SPY $DIA $QQQ #stocks #trading #stockupgrade #nasdaq #nyse,1,0
$BRSS downgraded by Goldman from Buy to Neutral. http://t.co/1aIh4Rkvud $DIA $QQQ $SPY #stockdowngrade #stocks #nyse #nasdaq,0,1
$CYBR downgraded by Nomura from Buy to Neutral. http://t.co/1aIh4Rkvud $DIA $QQQ $SPY #stockdowngrade #stocks #nyse #nasdaq,0,1
$BKU downgraded by Guggenheim from Buy to Neutral. http://t.co/1aIh4Rkvud $DIA $QQQ $SPY #stockdowngrade #stocks #nyse #nasdaq,0,1
"#Trade Liquid #stocks from #Nyse, Long and Short trades, up to 2000% in cumulative profits since 2010. http://t.co/1aIh4Rkvud $DIA $SPY",1,0
"I'm at work. The floor is business as usual. TV is on #CNBC, #NYSE... No sense of empathy whatsoever... 
Upgraded Stocks Active in Pre-Market: $SCTY $ROST $JBLU $TRUE $PETM $THOR $VOLC $BBRY $GERN $AMAT $AMBC $AAPL $ZNGA $PLNR $MDLZ #nyse #spy,1,0
"Opening Bell: Dow Jones 17.836 +0,10% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trading #aktie #dollar #opening",1,0
"Opening Bell: NASDAQ 4.297 +0,32% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trade #aktie #nasdaq #dollar #opening",1,0
The only retail stock that ever made me $$$ ($ANF) is at a 52-week low just before #BlackFriday. We never had this conversation. #DOW #NYSE,1,0
NYSE warns Roberts Realty Investors http://t.co/scknVYYKUo #NYSE,0,1
NYSE warns Roberts Realty Investors http://t.co/x9AB3st3MS #NYSE,0,1
"#GraphiteStocks LiqTech's Path To $100 Million In Sales: 
2-star analyst Shaun Kelly from Merrill Lynch maintained a BUY on $SNOW.  http://t.co/NwBcdF78Qm #NYSE #stocks #SNOW,1,0
Just bought 115 shares of @Cabelas stock at $52.9. What do you think @jimcramer ? They're expanding aggressively #Cabelas @StockTwits #NYSE,1,0
Just bought 245 shares of @Cabelas stock at $52.9. What do you think @jimcramer ? They're expanding aggressively #Cabelas @StockTwits #NYSE,1,0
"#IT #NYSE:SNE #NYSE:PCS
 Sonys smartphones unit lost billions in 2014. Whats next? - Mobile.. http://t.co/DYRam3wIMA",0,1
"#IT #NYSE:T #NSDQ:QCOM
 Sonim XP7: A rugged phone handles everything you can throw at it - Mobile.. http://t.co/1xl99B3s6j",1,0
0-star analyst Kim Pacanovsky from Imperial Capital rated $ESTE w/a BUY. Kim has a 20.7% success rate http://t.co/J009Fzl8j7 #NYSE MKT,1,0
"$NXTD looking good! 
#nasdaq
#money
#nyse
#trading
#wallstreet",1,0
Our team is heading to #NYC to ring the closing bell today! #nyse #nysebell #healthenthusiasts #teamvitaminshoppe  http://t.co/AQ6fNJdKrr,1,0
RT @VitaminShoppe: Our team is heading to #NYC to ring the closing bell today! #nyse #nysebell #healthenthusiasts #teamvitaminshoppe  http,1,0
RT @VitaminShoppe: Our team is heading to #NYC to ring the closing bell today! #nyse #nysebell #healthenthusiasts #teamvitaminshoppe  http,1,0
"#EnEsteMomento precio #nyse del #caf:
KCZ14 (Dec '14)  $192.20  +2.55  
OPen: $189.90  High: $191.75  Low: $187.80",1,0
Deutsche Bank appointed as depositary bank for the NYSE-Listed Level III American Depositary ... http://t.co/dH75Zvws6w #NYSE,1,0
Deutsche Bank appointed as depositary bank for the NYSE-Listed Level III American Depositary ... http://t.co/ri9E4pcFo5 #NYSE,1,0
2-star analyst Patrick Newton from Stifel Nicolaus reiterated a BUY on $DDD.  http://t.co/FEeON43ECU #NYSE #stocks #DDD,1,0
Israel Corporation Moves Forward With the Proposed Strategic Separation of its Holdin... http://t.co/HA3Nz8Yfru #NYSE,1,0
Israel Corporation Moves Forward With the Proposed Strategic Separation of its Holdin... http://t.co/o6HSVg0gp3 #NYSE,1,0
We are excited to ring the closing bell today here at the #nyse and share it with you live from the trading floor  http://t.co/G7twS95XCq,1,0
RT @VitaminShoppe: We are excited to ring the closing bell today here at the #nyse and share it with you live from the trading floor  http,1,0
RT @VitaminShoppe: We are excited to ring the closing bell today here at the #nyse and share it with you live from the trading floor  http,1,0
RT @VitaminShoppe: How many #healthenthusiasts does it take to ring the #nysebell stay tuned for the closing bell today. #nyse @nyse http:/,1,0
How many #healthenthusiasts does it take to ring the #nysebell stay tuned for the closing bell today. #nyse @nyse http://t.co/t4ZtNShpuT,1,0
RT @VitaminShoppe: Our team is heading to #NYC to ring the closing bell today! #nyse #nysebell #healthenthusiasts #teamvitaminshoppe  http,1,0
RT @VitaminShoppe: How many #healthenthusiasts does it take to ring the #nysebell stay tuned for the closing bell today. #nyse @nyse http:/,1,0
RT @VitaminShoppe: How many #healthenthusiasts does it take to ring the #nysebell stay tuned for the closing bell today. #nyse @nyse http:/,1,0
"FIFA Loses another Major Sponsor, Sony (NYSE: SNE)

#SonyCorporation, #SNE, #CocaCola, #KO, #NYSE, #V, #Visa,... http://t.co/l3p1xQQpK6",0,1
RT @Delphinusdelph: #SeaWorld #Stocks #Financial #Advice #NYSE #MadMoney #Markets #RealMoney #JimCramer #TheStreet SELL !!! http://t.co/TBW,0,1
RT @Delphinusdelph: #SeaWorld #Stocks #Financial #Advice #NYSE #MadMoney #Markets #RealMoney #JimCramer #TheStreet SELL !!! http://t.co/TBW,0,1
"RT @financialbuzz: FIFA Loses another Major Sponsor, Sony (NYSE: SNE)

#SonyCorporation, #SNE, #CocaCola, #KO, #NYSE, #V, #Visa,... http://",0,1
"@CNN @MadiganWSJ Continue Regulatory Fines cause Small Firms To Form Separate Financial Stock Index.

#NYSE breaking news",0,1
#GaveKal Capital: #NYSE #MarginDebt Declines For The 4th Time This Year http://t.co/ZX77s6e36w http://t.co/Iar2xbW1ly,0,1
#NYSE #MarginDebt Declines For The 4th Time This Year http://t.co/ACNWma8VHj,0,1
Keeping the NYSE trading floor stocked with health at the @nyse #nyse #nysebell thank you for having us today http://t.co/iOgMoQAQfS,1,0
RT @GaveKalCapital: #GaveKal Capital: #NYSE #MarginDebt Declines For The 4th Time This Year http://t.co/ZX77s6e36w http://t.co/Iar2xbW1ly,1,0
RT @VitaminShoppe: Keeping the NYSE trading floor stocked with health at the @nyse #nyse #nysebell thank you for having us today http://t.c,1,0
4-star analyst Randy Binner from FBR Capital reiterated a BUY on $AIG. Randy has a 78.6% success rate http://t.co/FaAKymEN1s #NYSE #stocks,1,0
"Tencent Is Becoming A Global Entertainment Power, to compete with AliBaba for content http://t.co/aGPB46rdjX $BABA $LGF $TWX #Stocks #NYSE",1,0
"#GraphiteStocks 2015 Qoros 3 City SUV 1.6T: 
2015 Qoros 3 City SUV 1.6T
"#GraphiteStocks EPA's Power Plant Mercury Rule Gets Review by US Supreme Court: 
RT @VitaminShoppe: Keeping the NYSE trading floor stocked with health at the @nyse #nyse #nysebell thank you for having us today http://t.c,1,0
Closing bell #teamvitaminshoppe at @nyse #nyse #nysebell a great moment for our company. Spreading health &amp; wellness http://t.co/qdnnsVEWiV,1,0
RT @VitaminShoppe: Keeping the NYSE trading floor stocked with health at the @nyse #nyse #nysebell thank you for having us today http://t.c,1,0
RT @VitaminShoppe: Keeping the NYSE trading floor stocked with health at the @nyse #nyse #nysebell thank you for having us today http://t.c,1,0
Got to ring the closing bell at the #NYSE with the greatest company in the world. #EPPIC #VitaminShoppe http://t.co/Cut4mRIB4E,1,0
RT @VitaminShoppe: Keeping the NYSE trading floor stocked with health at the @nyse #nyse #nysebell thank you for having us today http://t.c,1,0
RT @VitaminShoppe: Closing bell #teamvitaminshoppe at @nyse #nyse #nysebell a great moment for our company. Spreading health &amp; wellness htt,1,0
RT @VitaminShoppe: Closing bell #teamvitaminshoppe at @nyse #nyse #nysebell a great moment for our company. Spreading health &amp; wellness htt,1,0
RT @VitaminShoppe: Closing bell #teamvitaminshoppe at @nyse #nyse #nysebell a great moment for our company. Spreading health &amp; wellness htt,1,0
"#IT #NYSE:SNE #NSDQ:QCOM
 Sony Xperia Z4 specs leak, suggest modest improvements - Mobile.. http://t.co/eJLEABkmeE",0,1
"#IT #NYSE:VZ #NSDQ:GOOG
"#IT #NYSE:F #GER:BMW
 Zendrive wants to help on-demand car services find better drivers - Mobile.. http://t.co/W6DiCEIYH4",1,0
#Markets End Day Flat As Holiday Sales Loom http://t.co/M4GtCZUKpF #Invest #StockWatchWeekly #NASDAQ #CrudeOil #NYSE #Target #BuildABear,0,1
@TC_Metals own CEO Jacques Perron was recently at BNN HQ speaking about gold &amp; copper: http://t.co/LcPyxp5Lqo #tsx #nyse #cu #au #mining,1,0
@TC_Metals own CEO Jacques Perron was recently at BNN HQ speaking about gold &amp; copper: http://t.co/lum7nzFMOJ #tsx #nyse #cu #au #mining,1,0
3-star analyst Stephanie Wissink from Piper Jaffray reiterated a BUY on $BBW.  http://t.co/irDOMdQP86 #NYSE #stocks #BBW,1,0
"Goldman, BASF, HSBC accused of metals price fixing - US lawsuit http://t.co/9mfC8hyrGb #NYSE",0,1
"Goldman, BASF, HSBC accused of metals price fixing - US lawsuit http://t.co/pDbvXAlLhX #NYSE",0,1
