Text,pos,neg
"Iran #Nuclear Deadline Approaches
http://t.co/V2o5Ew2ewk
#OIL#LNG#GENTRIFICATION#DTES
#FTSE #NYSE #DAX #MOSCOW #EU #VANPOLI #MENA #UN",0,0
My Full trade diary for this great #Swing #Trade on $EXC - fantastic 3.4% profit on my trading account balance http://t.co/CbsHUBIw9p #nyse,1,0
International markets roundup http://t.co/taZcCiEEFR #NYSE,0,0
International markets roundup http://t.co/yok4otphwH #NYSE,0,0
Next week  #WallSt #NYSE #NewYork #2014 #stocks #futures #goldmansachs #JPMorgam http://t.co/8oOaktT2F5,0,0
Great Western reports improved profit http://t.co/WgHe9Pc6Ss #NYSE,1,0
Great Western reports improved profit http://t.co/tTABFYI4pe #NYSE,1,0
"#Swing #Trading #Stocks for a living!! , Check out my full trade diary for recent trade on $XOM http://t.co/Lad0V1XpOE #nyse",0,0
Profitable swingtrader Jason Bond FREE CHATROOM ACCESS ON FRIDAYS!  http://t.co/GAytwYvxKv #stocks #trading #nyse #nsadaq $FB,0,0
http://t.co/Xk9M7IQZ3e &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
Profitable swingtrader Jason Bond FREE CHATROOM ACCESS ON FRIDAYS!  http://t.co/bm1rTt49c2 #stocks #trading #nyse #nsadaq $FB,0,0
"MARTIAL LAW (Has, Is, and When Will it Occur?) http://t.co/n8Uoa46EQz #martiallaw #hooverdam #money #dollar #obama #nyse #fema #rfid #jesus",0,0
list of #biotech companies who have raised the most money via secondaries since 2010: http://t.co/FvpnWyBHpr #Pharma #Nasdaq #NYSE,1,0
http://t.co/t9v4IO2vow &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
All-Time Highs: $AON $BRFS $BPL $MPC $ACMP $FL $KEYS $DLPH $HON $EEP $SBAC $SXL $ADM $SWFT $IPXL http://t.co/Vv2VEnpBuv #finance #mkt #nyse,1,0
"Venezuela, China go in opposite directions when it comes to capitalism http://t.co/vaO7GjQlfn #NYSE",0,0
"Venezuela, China go in opposite directions when it comes to capitalism http://t.co/WYiqZFsVgv #NYSE",0,0
http://t.co/MXE2It0Eu6 &lt;-- Profitly has 60% SALE on yearly subscriptions at the moment #bargain #stocks #trading #nyse,0,0
#NYSE #stocks : #Markets: Wash Real Estate Investment : shaky 2015 growth &amp; profits forecast. http://t.co/J4ldPqI9zL,0,1
European Union Wants To Bust Up Google http://t.co/971SLs4huV $GOOG $GOOGL #Google #Stocks #Investing #NYSE #NASDAQ,0,1
"http://t.co/nGpJsAI10D &lt;-- Turn $100 into $1000, $10000 or more in 30 days! #stocks #trading #nyse #pennystocks $FB $TWTR",0,0
RBS And Software Firm Settle Over IT Failure http://t.co/Af0bbRb7CE #NYSE,0,1
RBS And Software Firm Settle Over IT Failure http://t.co/OhBnst3IoU #NYSE,0,1
"#Trading Indicators  End of the trend? http://t.co/fqvfLSqee3
#GraphiteStocks How Congress Made Environmentalists Public Enemy #1: ",0,0
"How Congress Made Env... http://t.co/AuNisZobdT #NYSE #NASDAQ #DOW""",0,0
Just published the full $TRW #trade diary which includes my scalp trade within the main trade  http://t.co/vjMZqmNSXV #stocks #nyse,0,0
Can The Euro Zone Emerge Intact From Its Debt Crisis? http://t.co/SsG7zAiSXP #Stocks #Investing #NYSE #NASDAQ,0,0
"Worked on #NYSE brand years ago, now wondering how many ways it can slice and dice a blue box. #branding",0,0
RT @crazycanuck655: Amazon Leases Entire Manhattan Building http://t.co/E1ZOoUvwC1 $AMZN #newyork #NYSE #NASDAQ #Invest,1,0
"Alibaba Group - Top New Position For Hedge Funds, Apple Still First http://t.co/DnY1Q5Ot2V $BABA $AAPL #Stocks #Invest #NYSE #NASDAQ #mkt",1,0
Amazon Leases Entire Manhattan Building http://t.co/E1ZOoUvwC1 $AMZN #newyork #NYSE #NASDAQ #Invest,1,0
,0,0
"http://t.co/TQEZYgV5qH""",0,0
"To start the week, percentage of #stocks above their #200-day-sma are: 55% on the #NYSE, 49% on the #Nasdaq, 43% on the #TSE ...",1,0
"Jeremy Male, Outfront Media: the billboard goes digital http://t.co/LVazL8w0Xw #NYSE",0,0
"Jeremy Male, Outfront Media: the billboard goes digital http://t.co/5Rh6G0SFdY #NYSE",0,0
http://t.co/t9v4IO2vow &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
#NYSE #wallstreet #NYC @ New York Stock Exchange http://t.co/b040bCH3KC,0,0
#NYSE #wallstreet #NYC @ Wall Street http://t.co/qVcMkI7LEb,0,0
"#GraphiteStocks Antitrust and competition  the EU weekly briefing (17 November 2014): 
Ant... http://t.co/dy2ewzmO9O #NYSE #NASDAQ #DOW",0,0
RT @HotKeyTrading: Downgraded: $DCI $PDCO $EJ $ED $SNCR $WU $INGR $BHI $HIMX $MAR $HAL $ORLY $HL $WMT $SCLN http://t.co/Vv2VEnpBuv #mkt #ny,0,1
RT @Maleah333: http://t.co/V9ektC0zVB &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
http://t.co/V9ektC0zVB &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
"#GraphiteStocks Focus on Research: 3-D printing brings new dimension to manufacturing: 
Foc... http://t.co/HX2KuVOEUC #NYSE #NASDAQ #DOW",1,0
"RT @daf_tv: Opening Bell: NASDAQ 4.279 +0,88% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trade #aktie #nasdaq #dollar #op",1,0
"RT @daf_tv: Opening Bell: Dow Jones 17.872 +0,87% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trading #aktie #dollar #open",1,0
"#Swing #Trading #Stocks for a living!! , Check out my full trade diary for recent trade on $XOM http://t.co/qYcn93Lc7Q #nyse",0,0
Sign up #Online Guidance for #Stocks #markets #NASDAQ #NYSE; Don't miss out! http://t.co/LJMNZcEJ5I,0,0
Sign up to our FREE Financial Data &amp; News Platform; #Stocks #markets #NASDAQ #NYSE; Get up to date #information http://t.co/LJMNZcEJ5I,0,0
Top Expert Consensus for $TWTR is Hold https://t.co/5iOKE9o4IP #NYSE #stocks #TWTR,0,0
"Stock market preview for the week of Nov 24, 2014 http://t.co/5wjhCKeVEJ #NYSE",0,0
"Stock market preview for the week of Nov 24, 2014 http://t.co/IusuPfMlMf #NYSE",0,0
#Entrepreneur would like FREE strategy help with #Stocks #markets #NASDAQ #NYSE; Read our eguides http://t.co/LJMNZcEJ5I #FB,0,0
Top Expert Consensus for $MS is Hold https://t.co/z793H3i7DD #NYSE #stocks #MS,0,0
My Full trade diary for this great #Swing #Trade on $EXC - fantastic 3.4% profit on my trading account balance http://t.co/6AH5qse3Li #nyse,0,0
"Fantastic #advice, sign up now for our FREE guides in #Stocks #markets #NASDAQ #NYSE; Unmissable deal! http://t.co/LJMNZcEJ5I #FB",0,0
India Nifty Futures Gain After China Rate Cut Spurs Asian Stocks http://t.co/YiGgEo1MEG #NYSE,1,0
India Nifty Futures Gain After China Rate Cut Spurs Asian Stocks http://t.co/oYx1k5cJHs #NYSE,1,0
Simple Investing Advice from the Father of Value Investing: Ben Graham http://t.co/OVXNnY5zsz $BRK $ES3 $STI #NYSE #SGX,0,0
http://t.co/nGpJsAI10D &lt;-- Lifetime membership for amazing stock alerts on $97! #stocks #trading #nyse #pennystocks $FB $TWTR,0,0
"nike store paris van java,nike free run aztec pattern http://t.co/1zp7GvudfN #NYSE",0,0
"nike store paris van java,nike free run aztec pattern http://t.co/rCHex4VUFR #NYSE",0,0
Top Expert Consensus for $FDO is Moderate Buy https://t.co/dsRCLaAnzJ #NYSE #stocks #FDO,1,0
Super Trades Review Video: http://t.co/WQi6YMjptx #stocks #trading #nyse #nasdaq $FB $VSR $IBIO $NQ $HURC,0,0
"Swap funds allow diversification, lower taxes http://t.co/MTG4rJKjZx #NYSE",1,0
"Swap funds allow diversification, lower taxes http://t.co/UDsiLQFdwu #NYSE",1,0
Our 10 top #investment tips for today at http://t.co/5xx6xiJqA4 via #WillemTait @WillemTait #budget #GDP #NYSE #IPO #invest #data #stocks,0,0
All-Time Highs: $AON $BRFS $BPL $MPC $ACMP $FL $KEYS $DLPH $HON $EEP $SBAC $SXL $ADM $SWFT $IPXL http://t.co/Vv2VEnpBuv #swingtrading #nyse,1,0
US stocks ended week on a high note http://t.co/QfrLGIdZWp #NYSE,1,0
US stocks ended week on a high note http://t.co/KEQ4GHxNAz #NYSE,1,0
"http://t.co/nGpJsAI10D &lt;-- Turn $100 into $1000, $10000 or more in 30 days! #stocks #trading #nyse #pennystocks $FB $TWTR",0,0
NYC Bound #nyc #NYSE,0,0
11/24 $SPY Predictions: Low: $205.516 Target High: $206.134 Upper High: $207.548 #ETF #SPY #Algotrading #stocks #daytrading #Options #nyse,0,0
5 Excellent Choice Of Hotels Near New York Stock Exchange http://t.co/B7KoByqLy9 #nyse,0,0
Get exclusive #trade #signals for US &amp; UK markets http://t.co/sDca7CSsYS #ftse #nasdaq #nyse #s&amp;p500 #dow #stocks,0,0
"RT @TreySongz: By the way, record closing for the Dow. Strongest market in 222 years. #AWHFoundation #Treys30Acts #NYSE #FoodBank4NYC #GIVI",1,0
RT @TreySongz: Mumma was geeked! #NYSE #AWHMonth #30for30 #AWHFoundation http://t.co/9dhInKi0UI,0,0
Bank Hapoalim Announces Third Quarter 2014 Financial Results http://t.co/7Ucb5HdGDu #NYSE,0,0
Bank Hapoalim Announces Third Quarter 2014 Financial Results http://t.co/oAk0tVgQxg #NYSE,0,0
Looking for the best #advice? Sign up for FREE and learn about #Stocks #markets #NASDAQ #NYSE; Don't Delay http://t.co/LJMNZcEJ5I,0,0
http://t.co/nGpJsAI10D &lt;-- Lifetime membership for amazing stock alerts on $97! #stocks #trading $FB $TWTR #nyse $LIVE,0,0
"Isnt it lovely to be able to kiss and cuddle, hold and gently explore each
other? Great #gfe! #BBWModels #nyse",0,0
Sign up for FREE! Minimize your #Risk; #Guidance for  #Stocks #markets #NASDAQ #NYSE; Click now! http://t.co/LJMNZcEJ5I,0,0
"Sign up to prepare for your future, we cover subjects #Stocks #markets #NASDAQ #NYSE; Unmissable offer! http://t.co/LJMNZcEJ5I #FB",0,0
"http://t.co/nGpJsAI10D &lt;-- Turn $100 into $1000, $10000 or more in 30 days! #stocks #trading #nyse #pennystocks $FB $TWTR",0,0
Currency Outlook Based On Algorithms: 65.22% Hit Ratio http://t.co/DJZHN2vDS2 #3MonthPredictions #CurrencyPrediction #stocks #nyse,0,0
Gold Price Prediction: 4.50% Gain In 14 Days http://t.co/tKtzFSoT34 #GoldSilverPredictions #GoldPrediction #stocks #nyse,1,0
Michael Lipper: markets misread the medicine http://t.co/CqcupSBgzz #NYSE,0,1
Michael Lipper: markets misread the medicine http://t.co/HzH7H5OmdT #NYSE,0,1
http://t.co/MXE2It0Eu6 &lt;-- Profitly has 60% SALE on yearly subscriptions at the moment #bargain #stocks #trading #nyse,0,0
Go online and Sign up for all the free resources offered; #Stocks #markets #NASDAQ #NYSE; Get up to date information http://t.co/LJMNZcEJ5I,0,0
http://t.co/V9ektC0zVB &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
In Play /  / $FL $ADSK $SHLD $BIG /  / # #nyse #nasdaq #,1,0
http://t.co/VS8RO1tb5N Top 4 NYSE Stocks In The Oil &amp; Gas http://t.co/XhbQWMbK2N #AMID #CMLP #dividendyield #NYSE #Financial #News,1,0
Earnings Surprises: $HIBB $FL $BERY $TNP $WBAI $DCI $LRAD $GLOG $GEOS $PLCE $ARUN $EDAP $GPS $GME $GWB http://t.co/S9oPUZ8PN3 #nasdaq #nyse,1,0
Glad U.S. #stocks continue on the upward trend.  #NYSE,1,0
Nam Tai Property Inc. Share Repurchase Program Update http://t.co/2UvV1Sk9t7 #NYSE,0,0
Nam Tai Property Inc. Share Repurchase Program Update http://t.co/JjALucJcDM #NYSE,0,0
RT @StockSignaling: Earnings Surprises: $HIBB $FL $BERY $TNP $WBAI $DCI $LRAD $GLOG $GEOS $PLCE $ARUN $EDAP $GPS $GME $GWB http://t.co/S9oP,1,0
RT @StockSignaling: Earnings Surprises: $HIBB $FL $BERY $TNP $WBAI $DCI $LRAD $GLOG $GEOS $PLCE $ARUN $EDAP $GPS $GME $GWB http://t.co/S9oP,1,0
http://t.co/Xk9M7IQZ3e &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
"#GraphiteStocks Gold prices gain in early Asia on weak yen, China stimulus prospects: 
Gold... http://t.co/ltwDQsNYfC #NYSE #NASDAQ #DOW",1,0
Gorilla Glass 4 Promises To Be Tougher Than Ever http://t.co/IsFYODJGpU $GLW $AAPL #NYSE #NASDAQ #Invest,1,0
"Tesla Motors Retooled Factory in Fremont, California-VIDEO http://t.co/Q0xQKxpahV $TSLA #Stocks #NYSE #NASDAQ #Invest #investor",1,0
http://t.co/MXE2It0Eu6 &lt;-- Profitly has 60% SALE on yearly subscriptions at the moment #bargain #stocks #trading #nyse,0,0
Ford's new F-150 trucks are shaking up the aluminum industry http://t.co/KujbHqSWdh $AA $F $GM $HMC $TSLA #NYSE #NASDAQ #Invest,1,0
"#FTSE #LSE #ASX #NYSE #NASDAQ follow us to receive $100 free in game credit. Fun with friends, compete for titles and learn to trade better.",0,0
"Asia Stocks Jump As China, Europe Step Up Stimulus http://t.co/HjzFPjj6W6 #Stocks #Asia #Europe Should be good for $SPY $IWM $QQQ #NYSE",1,0
"Futures higher, building on recent gains http://t.co/30j8d51BuI #NYSE",1,0
"Futures higher, building on recent gains http://t.co/QpyH3G3Qlm #NYSE",1,0
$CPC and $CPCE put/call ratio's are low signaling complacency. $SPX $QQQ $QID #stocks #options #futures #NYSE #CME #CBOE,0,1
RT @KeySpeculator: $CPC and $CPCE put/call ratio's are low signaling complacency. $SPX $QQQ $QID #stocks #options #futures #NYSE #CME #CBOE,0,1
"RT @crazycanuck655: Asia Stocks Jump As China, Europe Step Up Stimulus http://t.co/HjzFPjj6W6 #Stocks #Asia #Europe Should be good for $SPY",1,0
"#IT #PINK:DTEGY #NYSE:T
 BT could buy O2 or EE to get back into the mobile carrier game - Mobile.. http://t.co/rDjlueUkW1",0,0
"#GraphiteStocks EMC Announces Name Change To Scandium International Mining Corp.: 
EMC Anno... http://t.co/GxFx5NIKX1 #NYSE #NASDAQ #DOW",0,0
Looking for the best #advice? Sign up for FREE and learn about #Stocks #markets #NASDAQ #NYSE; Don't Delay http://t.co/LJMNZcEJ5I,0,0
"5 stocks that make up the Top Hedge Funds Holdings http://t.co/azGlplNnBp $AAPL $FB $ACT $AIG $AGN #Stocks #topstocks 
#NYSE #NASDAQ",1,0
Ready for another record breaking day at #NYSE are you ready for some #gains http://t.co/HzBzMeWNeQ,1,0
http://t.co/MXE2It0Eu6 &lt;-- Profitly has 60% SALE on yearly subscriptions at the moment #bargain #stocks #trading #nyse,0,0
"RT @crazycanuck655: 5 stocks that make up the Top Hedge Funds Holdings http://t.co/azGlplNnBp $AAPL $FB $ACT $AIG $AGN #Stocks #topstocks 
",1,0
$AV $SPF downgraded by BofA/Merrill from Buy to Neutral. http://t.co/cyxQj8igqB  $DIA $QQQ $SPY #stockdowngrade #stocks #NYSE,0,1
"#Trade Liquid #stocks from #Nyse, Long and Short trades, up to 2000% in cumulative profits since 2010. http://t.co/1aIh4Rkvud $DIA $SPY",0,0
"Still, enjoying #Lehigh Lafayette #NYC #YankeeStadium memories. @marching97 crashing NY #Subway and #NYSE, Fans at Fri #todayshow #TheGame",0,0
Swedish office space: Polar Star Realty Trust sets terms for $500 million IPO  #nasdaq #nyse #otc http://t.co/80wMwEkY7S,1,0
@ http://t.co/jk0CAh4c7u,0,0
"#BEATTHEMARKET #PENNYSTOCKS #OTC #NASDAQ #AMEX #NYSE""",0,0
"Opening Bell: Dow Jones 17.839 +0,16% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trading #aktie #dollar #opening",1,0
"Opening Bell: NASDAQ 4.264 +0,30% #nyse #dow #wallstreet #market #finance #dax #boerse #chart #trade #aktie #nasdaq #dollar #opening",1,0
$ABBV is a beast!!! Bring on $70!! #nasdaq #amex #nyse #otc #stocktrader #thedude #CA #ABBV,1,0
"Cannabis Science $CBIS Purchases Two Parcels of Cannabis Production Land from Apothecary Genetics, 51 Acres  #NYSE http://t.co/9DSGJ50Zig",1,0
SCGhealth reads: #WallStreet Is Bullish On 2015 #Obamacare Enrollment #HIX #NYSE #hcbusiness #physician via @khnews http://t.co/skwRAlCCLD,1,0
Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU37fH5JO,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
Sign up #Online Guidance for #Stocks #markets #NASDAQ #NYSE; Don't miss out! http://t.co/LJMNZcEJ5I #FB,0,0
Enhanced Board Independence Reduces Earnings Management http://t.co/2IWdjjfqt0 #NYSE,0,0
Enhanced Board Independence Reduces Earnings Management http://t.co/fuwqzZnb04 #NYSE,0,0
"#GraphiteStocks Insider Trading Alert:Entegris Inc , American Capital: 
Insider Trading Ale... http://t.co/THDYTetdeX #NYSE #NASDAQ #DOW",0,0
Opening bell #NYSE http://t.co/pmTb0r4Ols,0,0
Stocks are at all-time highs http://t.co/atrkTwR4BO #nasdaq #nyse #stocks #markets #record #trading #brokers #traders http://t.co/qAfSbaMzpO,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
#MarketAnalysis Big Week For US #Data | http://t.co/y1uO0Kqq9q #NYSE #WallStreet #investing #money #WarrenBuffett #stockmarket #stocks,1,0
"Labstyle innovations-announces-two-board-appointments-peter-kash-hila-karah http://t.co/n2wiyDXogj #DayTrader #DayTrading, #NASDAQ, #NYSE,",1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
RT @TradingGoddess: @Lindadelcarmen just reserved my name on @InvestFeed next big Social Network http://t.co/CVVPbgZNud reserve yours too! ,0,0
"What can investors expect from  $HPQ, $TIF, and $LGF this week? http://t.co/sFpDJBRFzj #Stocks #WallStreet #NASDAQ #NYSE",0,0
4-star analyst Sherri Scribner from Deutsche Bank maintained a BUY on $HPQ. Sherri has a 73.8% success rate http://t.co/1RYiVUUiqE #NYSE,1,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
ATOS's been gang stalking with the 3rd forces to kill skillful IT professional like me. They are shit! #CISSP #SHELLSHOCK #Euronext #NYSE,0,0
Annual Highs: $BKW $NKTR $TMO $BFR $XL $TSEM $WY $SNPS $AAWW $AON $BRFS $BPL $TSM $MPC $ACMP http://t.co/TRx9EnjwT5 #nyse #stocks #analyst,1,0
"RT @OpFunKill: Steal tweet!
#SeaWorld #Stocks #Financial #Advice #NYSE #MadMoney #Markets #RealMoney #JimCramer #TheStreet SELL !!! http://",0,0
0-star analyst Alex Henderson from Needham upgraded rating on $BLOX to BUY. Alex has a 35.4% success rate http://t.co/tORCBKguHJ #NYSE,1,0
5-star analyst Stephen Ju from Credit Suisse rated $OWW w/a HOLD. Stephen has a +14.7% avg rtrn http://t.co/8gXmjBwW96 #NYSE #stocks #OWW,0,0
http://t.co/Xk9M7IQZ3e &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
US stocks inch further into record territory http://t.co/TECadVZG0C #NYSE,1,0
US stocks inch further into record territory http://t.co/aKVQlmvetS #NYSE,1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"@luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://t.co/doKUjdNqkX",1,0
Yingli Green Energy to Power Europe's Largest Solar Plant http://t.co/2sMWvhtDXq $YGE #Solar #Stocks #NYSE #CleanEnergy #Energy #Investing,1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
"RT @Crowdnetic: @luancox, @Crowdnetic CEO will be speaking at the Growth of #PrivateCompany #Investing - tomorrow #NYSE @ACEportal https://",1,0
TSX racks up more declines as energy stocks sell off on oil price collapse http://t.co/EcDQnjL2Ep #NYSE,0,1
TSX racks up more declines as energy stocks sell off on oil price collapse http://t.co/RPcV4fzkkv #NYSE,0,1
.@usmc celebrating the 67th yr of #ToysForTots wll ring the closing bell on the .@nyse #NYSE,1,0
Premium Alerts Ranked #1 For Gains 2834% Last Week http://t.co/SVqoMlijqL .. #StockCharts #NYSE #America,1,0
3-star analyst Simeon Gutman from Morgan Stanley maintained a SELL on $TGT. Simeon has a 78.9% success rate http://t.co/yhhTlHdtQG #NYSE,0,1
CEO2CEO Leadership Summit is next week at #NYSE http://t.co/u92mtaroDD,0,0
"Wall St up as US equities, oil rise http://t.co/n51gppBujN #NYSE",0,0
"Wall St up as US equities, oil rise http://t.co/MC1nD9IwQX #NYSE",0,0
$VIX's diverging lower from #NYSE declining issues - advancing issues. Internals a little somber here. $spy $qqq $tlt http://t.co/zMpBqh6BHQ,0,1
"http://t.co/oncwsJay0p | @KennyPolcari is on the floor of the #NYSE, to give you this weeks market update. Watch #OntheFloor right now!",0,0
http://t.co/V9ektC0zVB &lt;&lt;-- Tandem Trader dvd video #stocks #trading #nyse #nasdaq $FB $TWTR $STUDY $NQ,0,0
RT @LennarAustin: Watch Lennar Corporation rings the NYSE Opening Bell on @livestream: http://t.co/AiHqui5Kc8 #Lennar #NYSE http://t.co/CqU,1,0
U.S. Stocks Rise From Records Amid Confidence in Economy http://t.co/lHpvXBkPuV via @BloombergNews #bullmarket #NYSE @dowjones,1,0
"RT @WealthChannel: http://t.co/oncwsJay0p | @KennyPolcari is on the floor of the #NYSE, to give you this weeks market update. Watch #Onthe",0,0
"http://t.co/nGpJsAI10D &lt;-- Turn $100 into $1000, $10000 or more in 30 days! #stocks #trading #nyse #pennystocks $FB $TWTR",0,0
RT @Hodge_at_DES: U.S. Stocks Rise From Records Amid Confidence in Economy http://t.co/lHpvXBkPuV via @BloombergNews #bullmarket #NYSE @dow,0,0
5-star analyst Arjun Murti from Goldman Sachs rated $XOM w/a SELL. Arjun has a 82.4% success rate http://t.co/wlV1q0n2o6 #NYSE #stocks,1,0
Premium Alerts Ranked #1 For Gains 2534% Last Week http://t.co/SVqoMlijqL .. #legalizeit #NYSE,0,0
$BABA stock settling into its own.  Time to play it as a long term investment.  #stocks #investment $twtr $aapl $bidu $yhoo #nyse,1,0
RT @Violin_Europe: See our great CEO @ViolinMemory present at Barclays Global #Tech event on Dec 10:  http://t.co/szNTqNvpGH #NYSE #VMEM ht,0,0
RT @Violin_Europe: See our great CEO @ViolinMemory present at Barclays Global #Tech event on Dec 10:  http://t.co/szNTqNvpGH #NYSE #VMEM ht,0,0
See our great CEO @ViolinMemory present at Barclays Global #Tech event on Dec 10:  http://t.co/Y6muBDzTPu #NYSE #VMEM http://t.co/KQMuRyEued,0,0
At http://t.co/AirVV2hOeO -- Someday perhaps!  #NYC #Travel #Vacation #WallStreet #NYSE #Finance,0,0
"#IT #NYSE:PCS #musicfreedom
 T-Mobile adds 14 music apps that dont count against data caps - Mobile.. http://t.co/vendzv9JbW",1,0
"#IT #NYSE:SNE #xperiaz3
 Hackers replace Sonys backup app on Google Play - Mobile.. http://t.co/YI7JG0UquQ",0,1
Downgraded: $TYC $DCI $PDCO $EJ $ED $SNCR $WU $INGR $BHI $HIMX $MAR $HAL $ORLY $HL $WMT http://t.co/TRx9EnjwT5 #nyse #finance #investors,0,1
#NYSE #NASDAQ #CBOE #DOW #SP500 Extends Record on Confidence in Global Economy http://t.co/Um8LwXo5H1,1,0
Premium Alerts Ranked #1 For Gains 2534% Last Week http://t.co/SVqoMlijqL .. #StockCharts #NYSE #America,0,0
